SOURCE_ID	ra	ra_error	dec	dec_error	parallax	parallax_error	pmra	pmra_error	pmdec	pmdec_error	radial_velocity	radial_velocity_error	bp_rp	phot_g_mean_mag	phot_bp_mean_mag	phot_rp_mean_mag	teff_gspphot	pmra_pmdec_corr
6045462860534546560	245.8148674958349	0.07399987429380417	-26.632135810957937	0.0460866279900074	0.5340439242232939	0.07671048492193222	-12.635103868959995	0.11036674678325653	-18.951651229028187	0.08230029046535492			1.2496585845947266	17.019790649414062	17.56426429748535	16.314605712890625	5941.46240234375	-0.2668287456035614
6045462860534564864	245.81036049771689	0.09793881326913834	-26.630024420866025	0.05871604010462761	0.5385242710170826	0.10821311175823212	-12.631195101541206	0.14929525554180145	-18.421843635023784	0.10532502830028534			1.300811767578125	17.544384002685547	18.12138557434082	16.820573806762695	5404.40087890625	-0.3803602457046509
6045462963613657984	245.8753198993475	0.06168872490525246	-26.631998597179475	0.03620161488652229	0.5414353920572837	0.06941773742437363	-12.956499392002668	0.09050997346639633	-19.62149673523165	0.063059963285923			1.2453460693359375	16.764808654785156	17.2985782623291	16.053232192993164	6082.6044921875	-0.11906156688928604
6045463032333163776	245.87795229832668	0.07105584442615509	-26.618766365353714	0.041538648307323456	0.5478747392708432	0.0778539702296257	-11.922100608102355	0.10173694044351578	-19.44788810173257	0.0719137191772461			1.2787818908691406	17.028076171875	17.583707809448242	16.3049259185791	6017.65185546875	-0.1310681700706482
6045463032333176448	245.86976164435714	0.06955934315919876	-26.618768538671986	0.041092585772275925	0.5452685613229786	0.07775799930095673	-13.176374205069056	0.10037854313850403	-19.14017188534236	0.07155834883451462			1.256927490234375	17.02210235595703	17.559246063232422	16.302318572998047	5822.40478515625	-0.15753476321697235
6045463032333178752	245.871017005077	0.07370363175868988	-26.617275398632223	0.043546319007873535	0.5371027126535948	0.08306099474430084	-12.530515499735145	0.10751458257436752	-18.912791905425447	0.0749737024307251			1.2561149597167969	17.104177474975586	17.653942108154297	16.3978271484375	5975.32080078125	-0.12756215035915375
6045463066692858624	245.9025507966306	0.09712321311235428	-26.620354288692944	0.05614621564745903	0.5413004467906803	0.11944399029016495	-11.879586727528284	0.15451887249946594	-19.14204613279335	0.09803924709558487			1.315786361694336	17.555692672729492	18.11660385131836	16.800817489624023	5422.11572265625	-0.07727187126874924
6045463101052625536	245.9099617901923	0.07167229801416397	-26.60490550561163	0.0427139475941658	0.5335210545298927	0.08158335089683533	-12.087803657317021	0.10540441423654556	-18.9193058770108	0.07452353090047836			1.2822189331054688	17.027210235595703	17.580976486206055	16.298757553100586	6006.29150390625	-0.1464114785194397
6045463101052625664	245.9086580631756	0.06753342598676682	-26.605658478775492	0.04012680798768997	0.5430130717829733	0.07621945440769196	-12.186541677854962	0.09902182221412659	-18.93836789458088	0.07003974914550781			1.289224624633789	16.913246154785156	17.479928970336914	16.190704345703125	6421.06298828125	-0.18352745473384857
6045463135412401024	245.8886856810689	0.08231796324253082	-26.603707568319315	0.04613012447953224	0.5376532376873409	0.08817993849515915	-12.784729992012881	0.12900859117507935	-19.28936833866075	0.08258724212646484			1.3234405517578125	17.202314376831055	17.78875732421875	16.465316772460938	5925.625	-0.014176880940794945
6045463169761166976	245.89453364670754	0.13771028816699982	-26.607801841776535	0.08253416419029236	0.5319990923759262	0.15424709022045135	-12.806948360872045	0.2059289962053299	-18.145769429362545	0.14155861735343933			1.4834041595458984	18.170616149902344	18.668916702270508	17.18551254272461	5960.3388671875	-0.1093345433473587
6045463204120996608	245.85750325395273	0.35881590843200684	-26.619536633225678	0.21104282140731812	0.5442369118846789	0.3840384781360626	-13.571052021680977	0.5130320191383362	-19.385923898904252	0.35656484961509705			1.7288341522216797	19.598596572875977	20.41071319580078	18.6818790435791		-0.0309533029794693
6045463272851408768	245.84500784329362	0.06902948021888733	-26.612661406855576	0.04103413224220276	0.5377317211546961	0.07672003656625748	-12.607873748724021	0.09665253758430481	-18.94466106565371	0.06871122121810913			1.2779293060302734	16.910974502563477	17.454538345336914	16.17660903930664	6052.0205078125	-0.13707256317138672
